,Framecount,Expression,Probability
131,1480,nervous,"tensor([0.0717, 0.0572, 0.0099, 0.5082, 0.1750, 0.1772, 0.0007])"
132,1490,enthusiastic,"tensor([0.2305, 0.3165, 0.0196, 0.1644, 0.0888, 0.1201, 0.0600])"
133,1530,confident,"tensor([0.7710, 0.0297, 0.0189, 0.1299, 0.0142, 0.0135, 0.0227])"
134,1540,confident,"tensor([9.9681e-01, 5.4060e-04, 5.1029e-04, 1.6785e-03, 1.9149e-04, 1.9975e-04,
        7.1243e-05])"
135,1550,confident,"tensor([9.6658e-01, 8.4478e-04, 2.1238e-03, 2.5955e-02, 2.8506e-03, 4.6741e-04,
        1.1766e-03])"
136,1560,confident,"tensor([0.8263, 0.0039, 0.0043, 0.1547, 0.0020, 0.0055, 0.0033])"
137,1570,nervous,"tensor([0.0685, 0.0660, 0.0721, 0.4121, 0.1354, 0.2322, 0.0139])"
138,1580,nervous,"tensor([0.1066, 0.0201, 0.0421, 0.6280, 0.0913, 0.0951, 0.0169])"
139,1590,nervous,"tensor([4.3165e-02, 5.7665e-04, 8.0458e-03, 6.0723e-01, 2.4749e-01, 9.1233e-02,
        2.2594e-03])"
140,1600,neutral,"tensor([0.0624, 0.0114, 0.0184, 0.3635, 0.4458, 0.0940, 0.0046])"
141,1610,confident,"tensor([0.4063, 0.2495, 0.0128, 0.1633, 0.0258, 0.1366, 0.0057])"
142,1620,confident,"tensor([0.2953, 0.1089, 0.0241, 0.2243, 0.0949, 0.2383, 0.0141])"
143,1630,scared,"tensor([0.2301, 0.1794, 0.0173, 0.1964, 0.0781, 0.2844, 0.0145])"
144,1640,nervous,"tensor([0.0901, 0.0611, 0.0158, 0.4850, 0.1114, 0.2301, 0.0066])"
145,1650,neutral,"tensor([0.2402, 0.0856, 0.0121, 0.2592, 0.2929, 0.1013, 0.0088])"
146,1660,nervous,"tensor([0.1457, 0.0567, 0.0124, 0.5162, 0.1268, 0.1365, 0.0058])"
